Reference, Quantity, Value, Footprint, Datasheet
C1 C2 C3 C4 C5 ,5,"0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
C6 ,1,"100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
J1 J2 ,2,"Conn_01x25","Connector_PinHeader_2.54mm:PinHeader_1x25_P2.54mm_Vertical","~"
J3 ,1,"MSX JOY STICK","Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm"," ~"
J4 ,1,"IN 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
J5 ,1,"EXT 5V","Connector_BarrelJack:BarrelJack_Horizontal","~"
J6 ,1,"Micro_SD_Card_Kit","Kicad:AE-microSD-LLCNV","http://katalog.we-online.de/em/datasheet/693072010801.pdf"
J7 ,1,"MicroSD Card Adapter","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
J8 ,1,"Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Horizontal","~"
R1 R2 R3 R4 R5 ,5,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
S1 ,1,"IN/EXT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
SW1 ,1,"SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~"
U1 ,1,"GAL22V10","Package_DIP:DIP-24_W7.62mm_LongPads",""
U2 ,1,"74LS366","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS366"
U3 ,1,"2764","Package_DIP:DIP-28_W15.24mm_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/11107M.pdf"
U4 ,1,"62256","Package_DIP:DIP-28_W15.24mm_LongPads","https://web.mit.edu/6.115/www/document/62256.pdf"
U5 ,1,"8255","Package_DIP:DIP-40_W15.24mm_LongPads","http://aturing.umcs.maine.edu/~meadow/courses/cos335/Intel8255A.pdf"
U6 ,1,"Arduino_Pro_Mini_5V","Kicad:Arduino_Pro_Mini","https://www.sparkfun.com/products/11113"
